,Symbol,Name,Sector,Industry,Type
1241,EFTR,eFFECTOR Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,EQUITY
1242,EFX,Equifax Inc. Common Stock,Finance,Advertising,EQUITY
1243,EFXT,Enerflex Ltd Common Shares,Consumer Staples,Meat/Poultry/Fish,EQUITY
1244,EGAN,eGain Corporation Common Stock,Technology,Computer Software: Prepackaged Software,EQUITY
1245,EGBN,Eagle Bancorp Inc. Common Stock,Finance,Major Banks,EQUITY
1246,EGF,Blackrock Enhanced Government Fund Inc. Common Stock,Finance,Trusts Except Educational Religious and Charitable,EQUITY
1247,EGHT,8x8 Inc Common Stock,Technology,EDP Services,EQUITY
1248,EGIO,Edgio Inc. Common Stock,Technology,Interactive Media,EQUITY
1249,EGP,EastGroup Properties Inc. Common Stock,Real Estate,Real Estate Investment Trusts,EQUITY
1250,EGRX,Eagle Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,EQUITY
1251,EGY,VAALCO Energy Inc.  Common Stock,Energy,Oil & Gas Production,EQUITY
1252,EHC,Encompass Health Corporation Common Stock,Health Care,Medical Specialities,EQUITY
1253,EHI,Western Asset Global High Income Fund Inc Common Stock,Finance,Investment Managers,EQUITY
1254,EHTH,eHealth Inc. Common Stock,Finance,Specialty Insurers,EQUITY
1255,EIG,Employers Holdings Inc Common Stock,Finance,Property-Casualty Insurers,EQUITY
1256,EIGR,Eiger BioPharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),EQUITY
1257,EIM,Eaton Vance Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,Finance,Finance/Investors Services,EQUITY
1258,EIX,Edison International Common Stock,Utilities,Electric Utilities: Central,EQUITY
1259,EKSO,Ekso Bionics Holdings Inc. Common Stock,Health Care,Medical/Dental Instruments,EQUITY
1260,EL,Estee Lauder Companies Inc. (The) Common Stock,Consumer Discretionary,Package Goods/Cosmetics,EQUITY
1261,ELA,Envela Corporation Common Stock,Consumer Discretionary,Consumer Specialties,EQUITY
1262,ELAN,Elanco Animal Health Incorporated Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,EQUITY
1263,ELDN,Eledon Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,EQUITY
1264,ELEV,Elevation Oncology Inc. Common stock,Health Care,Biotechnology: Pharmaceutical Preparations,EQUITY
1265,ELF,e.l.f. Beauty Inc. Common Stock,Consumer Discretionary,Package Goods/Cosmetics,EQUITY
1266,ELMD,Electromed Inc. Common Stock,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,EQUITY
1267,ELME,Elme Communities Common Stock,Real Estate,Real Estate Investment Trusts,EQUITY
1268,ELOX,Eloxx Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,EQUITY
1269,ELP,Companhia Paranaense de Energia (COPEL) American Depositary Shares (each representing one Unit consisting one Common Share and four non-voting Class B Preferred Shares),Utilities,Electric Utilities: Central,EQUITY
1270,ELS,Equity Lifestyle Properties Inc. Common Stock,Real Estate,Real Estate Investment Trusts,EQUITY
1271,ELSE,Electro-Sensors Inc. Common Stock,Industrials,Industrial Machinery/Components,EQUITY
1272,ELV,Elevance Health Inc. Common Stock,Health Care,Medical Specialities,EQUITY
1273,ELVN,Enliven Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,EQUITY
1274,ELYM,Eliem Therapeutics Inc Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,EQUITY
1275,ELYS,Elys Game Technology Corp. Common Stock,Consumer Discretionary,Movies/Entertainment,EQUITY
1276,EMBC,Embecta Corp. Common Stock,Health Care,Medical/Dental Instruments,EQUITY
1277,EMCG,Embrace Change Acquisition Corp Ordinary Shares,Finance,Blank Checks,EQUITY
1278,EMCGU,Embrace Change Acquisition Corp Unit,Finance,Blank Checks,EQUITY
1279,EMD,Western Asset Emerging Markets Debt Fund Inc Common Stock,Finance,Finance/Investors Services,EQUITY
1280,EME,EMCOR Group Inc. Common Stock,Industrials,Engineering & Construction,EQUITY
1281,EMF,Templeton Emerging Markets Fund Common Stock,Finance,Finance/Investors Services,EQUITY
1282,EMKR,EMCORE Corporation Common Stock,Technology,Semiconductors,EQUITY
1283,EML,Eastern Company (The) Common Stock,Industrials,Industrial Specialties,EQUITY
1284,EMLD,FTAC Emerald Acquisition Corp. Class A Common Stock,Industrials,Consumer Electronics/Appliances,EQUITY
1285,EMLDU,FTAC Emerald Acquisition Corp. Unit,Industrials,Consumer Electronics/Appliances,EQUITY
1286,EMN,Eastman Chemical Company Common Stock,Industrials,Major Chemicals,EQUITY
1287,EMO,ClearBridge Energy Midstream Opportunity Fund Inc. Common Stock,Finance,Investment Managers,EQUITY
1288,EMR,Emerson Electric Company Common Stock,Industrials,Industrial Machinery/Components,EQUITY
1289,ENB,Enbridge Inc Common Stock,Energy,Oil & Gas Production,EQUITY
1290,ENG,ENGlobal Corporation Common Stock,Consumer Discretionary,Military/Government/Technical,EQUITY
1291,ENJ,Entergy New Orleans LLC First Mortgage Bonds 5.0% Series due December 1 2052,Utilities,Power Generation,EQUITY
1292,ENOV,Enovis Corporation Common Stock,Industrials,Fluid Controls,EQUITY
1293,ENPH,Enphase Energy Inc. Common Stock,Technology,Electrical Products,EQUITY
1294,ENR,Energizer Holdings Inc. Common Stock,Industrials,Metal Fabrications,EQUITY
1295,ENS,EnerSys Common Stock,Consumer Discretionary,Telecommunications Equipment,EQUITY
1296,ENSC,Ensysce Biosciences Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,EQUITY
1297,ENSG,The Ensign Group Inc. Common Stock,Health Care,Hospital/Nursing Management,EQUITY
1298,ENSV,Enservco Corporation Common Stock,Energy,Oilfield Services/Equipment,EQUITY
1299,ENTA,Enanta Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,EQUITY
1300,ENTG,Entegris Inc. Common Stock,Technology,Semiconductors,EQUITY
1301,ENV,Envestnet Inc Common Stock,Technology,EDP Services,EQUITY
1302,ENVA,Enova International Inc. Common Stock,Finance,Finance: Consumer Services,EQUITY
1303,ENVB,Enveric Biosciences Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,EQUITY
1304,ENVX,Enovix Corporation Common Stock,Industrials,Industrial Machinery/Components,EQUITY
1305,ENX,Eaton Vance New York Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,Finance,Finance/Investors Services,EQUITY
1306,ENZ,Enzo Biochem Inc. Common Stock ($0.01 Par Value),Health Care,Medical Specialities,EQUITY
1307,EOD,Allspring Global Dividend Opportunity Fund Common Shares of Beneficial Interest,Finance,Finance Companies,EQUITY
1308,EOG,EOG Resources Inc. Common Stock,Energy,Oil & Gas Production,EQUITY
1309,EOI,Eaton Vance Enhance Equity Income Fund Eaton Vance Enhanced Equity Income Fund Shares of Beneficial Interest,Finance,Finance/Investors Services,EQUITY
1310,EOLS,Evolus Inc. Common Stock,Health Care, Medicinal Chemicals and Botanical Products ,EQUITY
1311,EOSE,Eos Energy Enterprises Inc. Class A Common Stock,Technology,Electronic Components,EQUITY
1312,EOSEW,Eos Energy Enterprises Inc. Warrant,Technology,Electronic Components,EQUITY
1313,EOT,Eaton Vance Municipal Income Trust EATON VANCE NATIONAL MUNICIPAL OPPORTUNITIES TRUST,Finance,Trusts Except Educational Religious and Charitable,EQUITY
1314,EP,Empire Petroleum Corporation Common Stock,Energy,Oil & Gas Production,EQUITY
1315,EPAC,Enerpac Tool Group Corp. Common Stock,Industrials,Industrial Machinery/Components,EQUITY
