Date,Price,Open,High,Low,Vol.,Change %
2022/3/2 00:00,2137,2137,2137,2137,,0.0329
2022/3/1 00:00,2069,2069,2069,2069,,0.0142
2022/2/28 00:00,2040,2040,2040,2040,,-0.0173
2022/2/25 00:00,2076,2076,2076,2076,,-0.0508
2022/2/24 00:00,2187,2187,2187,2187,,-0.0254
2022/2/23 00:00,2244,2244,2244,2244,,0.0447
2022/2/22 00:00,2148,2148,2148,2148,,0.0504
2022/2/21 00:00,2045,2045,2045,2045,,0.0412
2022/2/18 00:00,1964,1964,1964,1964,,0.0414
2022/2/17 00:00,1886,1886,1886,1886,,-0.0053
2022/2/16 00:00,1896,1896,1896,1896,,-0.0366
2022/2/15 00:00,1968,1968,1968,1968,,-0.0081
2022/2/14 00:00,1984,1984,1984,1984,,0.0035
2022/2/11 00:00,1977,1977,1977,1977,,0.0191
2022/2/10 00:00,1940,1940,1940,1940,,0.1338
2022/2/9 00:00,1711,1711,1711,1711,,0.1384
2022/2/8 00:00,1503,1503,1503,1503,,0.057
2022/2/7 00:00,1422,1422,1422,1422,,-0.0007
2022/2/4 00:00,1423,1423,1423,1423,,-0.0014
2022/2/3 00:00,1425,1425,1425,1425,,0.0042
2022/2/2 00:00,1419,1419,1419,1419,,-0.0146
2022/2/1 00:00,1440,1440,1440,1440,,0.0155
2022/1/31 00:00,1418,1418,1418,1418,,0.0268
2022/1/28 00:00,1381,1381,1381,1381,,0.0607
2022/1/27 00:00,1302,1302,1302,1302,,0.0046
2022/1/26 00:00,1296,1296,1296,1296,,-0.035
2022/1/25 00:00,1343,1343,1343,1343,,-0.0345
2022/1/24 00:00,1391,1391,1391,1391,,-0.017
2022/1/21 00:00,1415,1415,1415,1415,,-0.04
2022/1/20 00:00,1474,1474,1474,1474,,-0.0611
2022/1/19 00:00,1570,1570,1570,1570,,-0.045
2022/1/18 00:00,1644,1644,1644,1644,,-0.0503
2022/1/17 00:00,1731,1731,1731,1731,,-0.0187
2022/1/14 00:00,1764,1764,1764,1764,,-0.0582
2022/1/13 00:00,1873,1873,1873,1873,,-0.076
2022/1/12 00:00,2027,2027,2027,2027,,-0.0576
2022/1/11 00:00,2151,2151,2151,2151,,-0.0553
2022/1/10 00:00,2277,2277,2277,2277,,-0.0052
2022/1/7 00:00,2289,2289,2289,2289,,-0.003
2022/1/6 00:00,2296,2296,2296,2296,,0.0031
2022/1/5 00:00,2289,2289,2289,2289,,0.0018
2022/1/4 00:00,2285,2285,2285,2285,,0.0307
2021/12/24 00:00,2217,2217,2217,2217,,-0.0009
2021/12/23 00:00,2219,2219,2219,2219,,-0.0045
2021/12/22 00:00,2229,2229,2229,2229,,-0.0283
2021/12/21 00:00,2294,2294,2294,2294,,-0.0325
2021/12/20 00:00,2371,2371,2371,2371,,-0.0034
